"Date","Price","Open","High","Low","Vol.","Change %"
"05/07/2026","28,563.95","28,612.54","28,825.52","28,440.05","-","-0.12%"
"05/06/2026","28,599.17","28,234.02","28,608.68","28,208.23","-","2.09%"
"05/05/2026","28,015.06","27,895.05","28,065.63","27,844.23","-","1.31%"
"05/04/2026","27,651.82","27,625.79","27,822.37","27,504.09","-","-0.21%"
"05/01/2026","27,710.36","27,508.57","27,787.12","27,501.43","-","0.94%"
"04/30/2026","27,452.12","27,328.99","27,488.03","27,029.41","-","0.97%"
"04/29/2026","27,186.99","27,069.36","27,199.73","26,995.38","-","0.58%"
"04/28/2026","27,029.01","26,988.77","27,115.77","26,877.59","-","-1.01%"
"04/27/2026","27,305.68","27,278.28","27,315.23","27,158.87","-","0.01%"
